Station_x,Date,Longitude ,Latitude ,Prof,Temp,Sal,Station,Bottle,Depth ,Nitrite_umol_l ,Nitrate_umol_l ,Silicate_umol_l,Phosphate_umol_l ,NH4_umol_l,Urée_umol_l,POC_Mean_umol_L,POC_Std,NOP_Mean_umol_l ,NOP_Std,PP_mean_ugC_L_day,PP_Std,rNO3_nmol_l_day,ruree_nmol_l_day,rNH4,regNH4_nM_day,rNO3_nM_day,DONH4ex_nMol_day,f ratio,NewPP,,,,,,,,,
4,2009-06-16,303.21,68.499,1.886,0.8462,33.4807,G100,19,2,0.02,0.03,1.53,0.11,0.03,0.57,13.24,1.87,1.63,0.09,3.62,0.57,80.12,145.62,162.5,24.6,10.07,16.79,0.18,0.65,,,,,,,,,
4,2009-06-16,303.21,68.499,20.135,0.8087,33.4858,G100,16,20,0.02,0.02,0.97,0.1,0.02,0.57,14.88,0.63,1.82,0.3,2.35,0.59,52.69,55.84,116.16,11.25,8.48,18.79,0.2,0.46,,,,,,,,,
4,2009-06-16,303.21,68.499,30.328,-0.0727,33.5697,G100,14,30,0.05,1.1,2.35,0.22,0.15,0.51,25.01,3.47,3.23,0.36,9.27,0.83,195.7,70.74,196.42,43.29,19.42,26.25,0.38,3.53,,,,,,,,,
4,2009-06-16,303.21,68.499,34.421,-1.2285,33.6159,G100,12,35,0.14,6.23,5.26,0.6,0.32,0.43,16.91,2.6,2.08,0.1,3.81,0.57,116.59,21.46,60.39,1.21,18.63,10.57,0.49,1.88,,,,,,,,,
4,2009-06-16,303.21,68.499,40.386,-1.5502,33.6386,G100,9,40,0.15,7.89,6.07,0.71,0.34,0.45,11.33,1.41,1.37,0.16,4.12,0.8,126.09,17.33,65.7,3.01,14.07,7.06,0.54,2.2,,,,,,,,,
4,2009-06-16,303.21,68.499,54.646,-1.6095,33.6691,G100,7,55,0.17,9.16,6.95,0.82,0.2,0.47,4.66,0.88,0.53,0.04,0.22,0.22,88.15,6.34,13.77,-0.37,11.89,3.63,0.7,0.15,,,,,,,,,
7,2010-06-16,302.521,68.497,15.135,0.1293,33.4784,G102,19,1,0.021,0.038,2.096,0.152,0.07,0.43,24.36,3.06,3.14,0.62,13.51,1.87,83,100.28,161.35,11.3,6.42,164.39,0.22,3,,,,,,,,,
7,2010-06-16,302.521,68.497,20.472,0.1606,33.4951,G102,17,15,0.031,0.011,1.679,0.144,0.02,0.43,22.37,3.02,2.19,0.6,11.09,2.08,36.19,99.17,109.27,46.62,4.27,70.45,0.13,1.45,,,,,,,,,
7,2010-06-16,302.521,68.497,30.22,0.2528,33.5152,G102,15,20,0.02,0,1.566,0.143,0.02,0.49,26.28,3.69,3.18,0.44,10.32,3.57,54.53,50.62,123.84,99.63,8.42,44.68,0.2,2.08,,,,,,,,,
7,2010-06-16,302.521,68.497,30.169,0.1763,33.4963,G102,13,30,0.045,1.116,1.874,0.245,0.17,0.45,21.78,0.67,3.3,0.39,5.42,1.6,117.75,35,163.74,39.97,11.68,155.73,0.34,1.82,,,,,,,,,
7,2010-06-16,302.521,68.497,60.457,-1.2071,33.7365,G102,9,40,0.166,9.508,6.705,0.786,0.26,0.43,7.92,2.18,1.16,0.12,3.17,0.32,39.94,12.86,39.83,50.22,17.57,19.92,0.24,0.77,,,,,,,,,
7,2010-06-16,302.521,68.497,60.467,-1.2037,33.7373,G102,7,60,0.154,9.629,6.757,0.824,0.26,0.37,5.61,1.17,1,0.18,0.14,0.14,16.6,7.21,22.46,8.97,15.31,33.04,0.03,0,,,,,,,,,
13,2011-06-16,300.821,68.498,0.972,-1.6711,32.6899,G107,24,1,0.114,1.61,4.142,0.32,0.1,0.37,27.88,1.12,3.82,0.1,56.46,1.59,545.84,57.44,213.54,61.27,13.56,21.97,0.65,36.8,,,,,,,,,
13,2011-06-16,300.821,68.498,10.004,-1.6847,32.7037,G107,19,10,0.063,1.706,3.689,0.325,0.08,0.37,26.45,0.96,3.72,0.16,55.1,4.59,562.41,72.38,221.66,72.56,14.01,19.85,0.64,35.28,,,,,,,,,
13,2011-06-16,300.821,68.498,14.953,-1.6848,32.7288,G107,17,15,0.061,2.559,3.992,0.388,0.12,0.31,20.78,1.08,2.93,0.26,30.85,3.62,203.89,50.61,212.06,13.39,11.72,14.59,0.41,12.71,,,,,,,,,
13,2011-06-16,300.821,68.498,22.793,-1.6605,33.354,G107,13,23,0.071,5.853,5.93,0.629,0.13,0.41,9.67,4.37,1.49,0.27,10.01,0.51,44.89,19.74,101.07,17.67,7.47,5.49,0.23,2.26,,,,,,,,,
13,2011-06-16,300.821,68.498,28.94,-1.6679,33.4617,G107,10,29,0.07,6.705,6.85,0.732,0.11,0.83,5.62,0.95,0.82,0.23,2.57,0.39,16.73,6.15,34.36,6.25,4.74,2.28,0.21,0.54,,,,,,,,,
13,2011-06-16,300.821,68.498,32.794,-1.6716,33.4867,G107,9,33,0.085,7.029,7.104,0.748,0.12,0.43,4.42,0.64,0.81,0.23,2.22,2.22,19.32,6.08,31.9,0,5.11,3.42,0.25,0.55,,,,,,,,,
18,2012-06-16,299.833,68.534,0.952,-1.6498,33.2269,G110,24,2,0.1,5.022,6.036,0.596,0.19,0.45,9.53,1.83,1.73,0.14,11.03,1.16,155.71,35.89,57.77,4.9,5.28,16.34,0.6,6.65,,,,,,,,,
18,2012-06-16,299.833,68.534,12.732,-1.6793,33.2703,G110,18,12,0.052,5.233,6.055,0.652,0.35,0.45,7.31,2.61,1.33,0.09,8.27,2.03,129.37,28.66,33.49,22.19,8.43,5.74,0.63,5.22,,,,,,,,,
18,2012-06-16,299.833,68.534,20.666,-1.6911,33.3191,G110,14,20,0.051,5.665,6.282,0.722,0.16,0.53,9.54,1.41,1.45,0.06,7.71,0.67,143.57,23.77,59.13,30.27,6.64,6.27,0.6,4.66,,,,,,,,,
18,2012-06-16,299.833,68.534,32.817,-1.6956,33.4385,G110,12,32,0.051,6.762,7.438,0.787,0.04,0.49,5.56,0.41,0.96,0.14,1.85,0.23,138.29,13.61,21.3,40.15,4.6,2.12,0.77,1.43,,,,,,,,,
18,2012-06-16,299.833,68.534,40.736,-1.6964,33.4518,G110,9,40,0.056,6.857,7.725,0.808,0.04,1.17,3.79,1.23,0.79,0.1,1.01,0.14,126.86,18.45,19.36,29.41,4.42,0.15,0.74,0.75,,,,,,,,,
18,2012-06-16,299.833,68.534,45.709,-1.6933,33.4698,G110,8,45,0.046,7.577,8.65,0.869,0.01,0.43,2.92,0.98,0.57,0.11,0.76,0.76,88.33,10.12,7.88,18.38,5.35,0.76,0.78,0.59,,,,,,,,,
25,2013-06-16,298.644,68.456,0.908,-1.5631,32.2176,G115,24,2,0.043,3.945,8.061,0.905,0.22,0.69,8.24,1.06,1.29,0.1,7.71,0.82,313.07,27.19,60.21,384.92,7.15,7.32,0.76,5.89,,,,,,,,,
25,2013-06-16,298.644,68.456,15.589,-1.5844,32.5869,G115,18,15,0.059,4.98,9.512,0.988,0.45,0.69,6.42,0.32,0.93,0.17,5.78,0.45,212.54,16.89,21.26,50.79,9.26,21.78,0.81,4.68,,,,,,,,,
25,2013-06-16,298.644,68.456,25.435,-1.6607,32.771,G115,14,25,0.075,5.873,10.451,1.007,0.28,1.21,5.14,0.21,0.7,0.08,3.49,0.28,259.57,25.91,18.15,74.39,5.66,16.22,0.84,2.92,,,,,,,,,
25,2013-06-16,298.644,68.456,40.638,-1.6042,32.9671,G115,12,40,0.061,7.649,12.349,1.078,0.01,0.53,3.37,0.46,0.51,0.12,0.82,0.16,141.53,6.29,4.44,73.19,3.05,4.14,0.91,0.74,,,,,,,,,
25,2013-06-16,298.644,68.456,49.121,-1.2522,33.0466,G115,9,49,0.015,9.136,14.278,1.152,0.01,0.71,3.01,0.15,0.44,0.16,0.15,0.03,107.61,5.57,3.35,83.53,7.61,2.95,0.86,0.13,,,,,,,,,
25,2013-06-16,298.644,68.456,57.607,-1.4412,33.1594,G115,8,57,0.021,8.82,12.772,1.104,0,0.89,2.79,0.94,0.39,0.03,0.07,0.07,116.98,6.2,2.56,57.59,4.13,2.85,0.9,0.06,,,,,,,,,
29,2014-06-16,300.053,68.633,1.136,-1.4935,33.1541,G201,21,2,0.051,5.146,6.511,0.681,0.2,,11.92,1.31,1.84,0,12.05,1.11,91.06,,117.54,66.52,8.21,22.95,0.4,4.79,,,,,,,,,
29,2014-06-16,300.053,68.633,15.255,-1.6325,33.2266,G201,17,15,0.055,5.39,6.901,0.76,0.22,,9.49,0.09,1.35,0.04,6.93,1.86,39.41,,68.33,46.26,3.6,9.71,0.33,2.3,,,,,,,,,
29,2014-06-16,300.053,68.633,21.295,-1.6485,33.2398,G201,12,21,0.047,5.439,6.849,0.784,0.2,,8.69,0.81,1.13,0.1,5.9,0.48,46.25,,58.25,42.99,9.97,12.28,0.35,2.05,,,,,,,,,
29,2014-06-16,300.053,68.633,31.877,-1.6676,33.2603,G201,9,32,0.041,5.691,7.155,0.778,0.17,,6.79,0.21,0.91,0.07,1.52,0.57,21.25,,39.49,41.18,8.71,7.58,0.21,0.31,,,,,,,,,
29,2014-06-16,300.053,68.633,40.431,-1.7074,33.4085,G201,6,40,0.067,6.606,7.995,0.86,0.08,,4.25,0.53,0.56,0.05,0.6,0.35,13.35,,20.09,66.25,6.45,31.14,0.21,0.12,,,,,,,,,
29,2014-06-16,300.053,68.633,46.421,-1.7115,33.4378,G201,4,46,0.074,6.944,8.459,0.881,0.06,,3.47,0.19,0.41,0.06,0.63,0.63,17.14,,13.12,26.66,4.68,13.24,0.41,0.26,,,,,,,,,
34,2015-06-16,300.743,68.708,0.941,-1.53,32.3023,G204,24,1,0.015,0.098,0.083,1.375,0.166,0.41,44.38,3.97,4.21,0.44,88.13,2.97,126.84,122.56,405.44,44.73,28.69,69.08,0.15,13.21,,,,,,,,,
34,2015-06-16,300.743,68.708,8.504,-1.6026,32.6245,G204,19,8,0.014,0.188,0.174,1.864,0.241,0.41,39.77,3.16,4.8,0.37,70.14,4.16,185.52,115.32,395.21,33.39,11.46,57.53,0.25,17.54,,,,,,,,,
34,2015-06-16,300.743,68.708,13.456,-1.6109,32.7671,G204,16,13,0.038,1.888,1.85,3.14,0.397,1.85,28.16,1.08,4.03,0.17,55.01,3.97,622.5,123.84,347.76,30.39,47.03,64.28,0.53,28.94,,,,,,,,,
34,2015-06-16,300.743,68.708,20.604,-1.6319,33.124,G204,14,20,0.06,4.502,4.442,5.24,0.571,0.45,11.33,1.09,1.57,0.12,11.69,0.68,193.75,17.37,157.41,9.84,13.74,40.69,0.49,5.71,,,,,,,,,
34,2015-06-16,300.743,68.708,29.51,-1.6416,33.4187,G204,12,29,0.076,6.419,6.343,7.685,0.726,0.45,6.01,0.77,0.64,0.15,1.31,1.06,171.83,5.05,31.45,15.02,16.51,10.05,0.75,0.97,,,,,,,,,
34,2015-06-16,300.743,68.708,39.273,-1.6746,33.4993,G204,8,39,0.084,7.124,7.04,7.577,0.793,0.43,6.33,1.78,0.62,0.11,0.71,0.71,257.25,7.15,10.34,5.09,23.59,4.6,0.85,0.6,,,,,,,,,
40,2016-06-16,301.471,68.794,1.412,-0.2229,32.4942,G207,24,1,0.06,0.181,0.181,0.1,0.41,0.41,24.14,2.28,2.56,0.08,14.41,1.01,197.57,135.02,173.51,34.36,2.37,13.45,0.39,5.56,,,,,,,,,
40,2016-06-16,301.471,68.794,12.129,-0.2806,33.09,G207,19,12,0.002,0.077,0.077,0.15,0.41,0.41,51.57,5.58,5.66,0.55,37.68,3.19,124.81,125.94,269.32,52.81,7.06,14.75,0.23,8.53,,,,,,,,,
40,2016-06-16,301.471,68.794,15.293,-0.9152,33.2059,G207,16,15,0.035,0.272,0.272,0.2,0.65,0.65,46.45,2.69,5.38,0.03,33.31,4.97,125.14,165.19,704.23,67.3,10.84,46.56,0.11,3.83,,,,,,,,,
40,2016-06-16,301.471,68.794,17.307,-0.9393,33.2245,G207,14,17,0,0.05,0.05,0.22,0.37,0.37,48.76,4.73,5.49,0.28,23.42,1.88,110.74,122.48,671.06,80.13,8.77,55.86,0.11,2.64,,,,,,,,,
40,2016-06-16,301.471,68.794,24.725,-1.5987,33.493,G207,12,24,0.072,5.239,5.239,0.27,0.63,0.63,13.36,0.97,1.96,0.15,6.36,0.52,102.64,27.7,130.87,131.35,13.74,44.67,0.34,2.17,,,,,,,,,
40,2016-06-16,301.471,68.794,27.105,-1.6237,33.5044,G207,11,27,0.11,5.856,5.856,0.57,0.41,0.41,10.73,0.8,1.54,0.25,3.48,3.48,54.01,17.87,80.99,79.18,13.01,49.57,0.27,0.93,,,,,,,,,
49,2017-06-16,303.211,68.999,1.188,1.3934,33.6554,G300,20,2,0,0,1.715,0.03,0.31,0.31,22.4,2.17,2.19,0.5,4.54,0.43,63.17,139.84,239.75,19.34,1.48,5.46,0.14,0.63,,,,,,,,,
