Station,euz_dep
G100,55
G102,60
G107,33
G110,45
G115,57
G201,46
G204,39
G207,27
G300,90
G309,28
G312,40
G318,59
G324,45
G403,55
G409,56
G413,50
G418,70
G503,50
G512,30
G519,25
G605,40
G615,50
G604.5,50
G707,60
G713,75
G719,50
