DAY,Date,Depth,POC_umolC_L,PON_umolN_L,PP_ugC_L_day,dilution_factor,POC_Umol_C_L_diluted,PON_umolN_L_diluted,PP_ugC_L_day_diluted
148,2016-05-27,20,4.14,0.66,0.08,,,,
151,2016-05-30,20,7.69,0.57,0.42,,,,
153,2016-06-01,20,3.41,0.56,0.09,,,,
155,2016-06-03,20,2.87,0.45,0.12,,,,
158,2016-06-06,20,2.73,0.34,0.2,,,,
160,2016-06-08,20,2.18,0.23,0.18,,,,
162,2016-06-08,20,3.26,0.58,0.35,,,,
165,2016-06-13,20,3.87,0.58,0.36,,,,
167,2016-06-17,20,4.84,0.71,0.38,,,,
169,2016-06-17,20,2.56,0.38,0.62,,,,
172,2016-06-20,20,4.07,0.43,1.33,,,,
175,2016-06-23,20,13.68,2.3,1.49,,,,
176,2016-06-24,20,8.74,1.19,2.49,,,,
179,2016-06-27,20,12.96,2.01,1.02,,,,
181,2016-06-29,20,16.07,1.24,11.53,,,,
183,2016-07-01,20,14.85,2.42,2.85,,,,
186,2016-07-04,20,17.6,2.78,13.67,,,,
188,2016-07-06,20,18.46,2.01,8.01,,,,
190,2016-07-08,20,25.18,3.47,2.44,,,,
181,2016-06-29,30,6.43,0.17,0.11,,,,
183,2016-07-01,30,9.29,1.58,1.38,,,,
186,2016-07-04,30,8.4,1.26,0.7,,,,
188,2016-07-06,30,16.77,1.71,3.45,,,,
190,2016-07-08,30,19.69,2.74,8.32,,,,
179,2016-06-27,40,9.63,0.36,0.11,,,,
183,2016-07-01,60,1.96,0.04,0.3,,,,
186,2016-07-04,60,3.76,0.59,0.28,,,,
188,2016-07-06,60,10.42,0.66,0.87,,,,
