Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
UP,Calanus hyperboreus,M,2.46,4900.00,5600.00,4.90,5.60,1.01E+03,1.53E+03,,2.49E+03,3.77E+03,,,Calanus,6.82E+07,4.06E+07,,,,,,,,,,,,,,,
UP,Calanus hyperboreus,Total,4555.49,,,,,,,,,,3.55E+06,5.40E+06,,#DIV/0!,#DIV/0!,9.84E+10,5.45E+10,,,,,,,,,,,,,
UP,Discoconchoecia elegans,NA,235.09,1.70,2.80,1.70,2.80,3.56E+01,1.16E+02,"Mumm, 1991",8.38E+03,2.73E+04,8.38E+03,2.73E+04,Omnivore,1.14E+09,2.60E+08,1.14E+09,2.60E+08,,,,,,,,,,,,,
UP,Eukrohnia hamata,NA,1928.49,11.69,11.69,11.69,11.69,2.04E+02,2.04E+02,"Hopcroft et al., 2005",3.94E+05,3.94E+05,3.94E+05,3.94E+05,Carnivorous,1.06E+10,1.06E+10,1.06E+10,1.06E+10,,,,,,,,,,,,,
UP,Gaetanus tenuispinus,CiV,92.51,1800.00,2200.00,1.80,2.20,3.45E+01,6.85E+01,"Mumm, 1991",3.19E+03,6.34E+03,,,Carnivorous,2.67E+08,1.13E+08,,,,,,,,,,,,,,,
UP,Gaetanus tenuispinus,CV,117.28,2200.00,2800.00,2.20,2.80,6.85E+01,1.56E+02,,8.03E+03,1.83E+04,,,Carnivorous,6.49E+08,2.32E+08,,,,,,,,,,,,,,,
UP,Gaetanus tenuispinus,F,77.51,2700.00,3200.00,2.70,3.20,1.38E+02,2.46E+02,,1.07E+04,1.91E+04,,,Carnivorous,5.68E+08,2.75E+08,,,,,,,,,,,,,,,
UP,Gaetanus tenuispinus,M,4.92,2900.00,3200.00,2.90,3.20,1.76E+02,2.46E+02,,8.65E+02,1.21E+03,,,Carnivorous,3.39E+07,2.23E+07,,,,,,,,,,,,,,,
UP,Gaetanus tenuispinus,Total,292.23,,,,,,,,,,2.28E+04,4.49E+04,,#DIV/0!,#DIV/0!,1.52E+09,6.43E+08,,,,,,,,,,,,,
UP,Heterorhabdus norvegicus,Ciii,13.68,1400.00,1700.00,1.40,1.70,6.74E+00,1.68E+01,"Mumm, 991",9.21E+01,2.30E+02,,,Carnivorous,1.46E+07,4.64E+06,,,,,,,,,,,,,,,
UP,Heterorhabdus norvegicus,CV,2.46,2000.00,2800.00,2.00,2.80,3.62E+01,1.77E+02,,8.92E+01,4.36E+02,,,Carnivorous,1.81E+07,2.50E+06,,,,,,,,,,,,,,,
UP,Heterorhabdus norvegicus,F,7.38,2900.00,3700.00,2.90,3.70,2.09E+02,6.59E+02,,1.54E+03,4.87E+03,,,Carnivorous,1.31E+08,3.11E+07,,,,,,,,,,,,,,,
UP,Heterorhabdus norvegicus,M,18.87,2600.00,3000.00,2.60,3.00,1.25E+02,2.45E+02,,2.36E+03,4.63E+03,,,Carnivorous,1.41E+08,6.08E+07,,,,,,,,,,,,,,,
UP,Heterorhabdus norvegicus,Total,44.85,,,,,,,,,,4.08E+03,1.02E+04,,#DIV/0!,#DIV/0!,3.05E+08,9.90E+07,,,,,,,,,,,,,
UP,Heterostylites major,Cii,100.92,650.00,1000.00,0.65,1.00,1.84E+00,6.92E+00,"Uye, 1982",1.86E+02,6.98E+02,,,Omnivorous,6.12E+07,1.17E+07,,,,,,,,,,,,,,,
UP,Heterostylites major,Ciii,23.59,1000.00,1300.00,1.00,1.30,6.92E+00,1.55E+01,,1.63E+02,3.65E+02,,,Omnivorous,2.30E+07,8.40E+06,,,,,,,,,,,,,,,
UP,Heterostylites major,CiV,22.97,1450.00,1800.00,1.45,1.80,2.16E+01,4.20E+01,,4.97E+02,9.66E+02,,,Omnivorous,4.57E+07,1.99E+07,,,,,,,,,,,,,,,
UP,Heterostylites major,CV,18.05,2300.00,3300.00,2.30,3.30,8.92E+01,2.70E+02,,1.61E+03,4.88E+03,,,Omnivorous,1.62E+08,4.06E+07,,,,,,,,,,,,,,,
UP,Heterostylites major,F,70.40,3375.00,3800.00,3.38,3.80,2.90E+02,4.17E+02,,2.04E+04,2.93E+04,,,Omnivorous,7.26E+08,4.61E+08,,,,,,,,,,,,,,,
UP,Heterostylites major,M,45.95,3375.00,3700.00,3.38,3.70,2.90E+02,3.84E+02,,1.33E+04,1.76E+04,,,Omnivorous,4.37E+08,3.07E+08,,,,,,,,,,,,,,,
UP,Heterostylites major,Total,281.89,,,,,,,,,,,,,#DIV/0!,#DIV/0!,1.45E+09,8.48E+08,,,,,,,,,,,,,
UP,Limacina helicina,NA,308.57,5.00,13.00,5.00,13.00,4.87E+03,1.38E+05,"Hopcroft et al., 2005",1.50E+06,4.27E+07,1.50E+06,4.27E+07,Omnivorous,5.22E+11,7.95E+09,5.22E+11,7.95E+09,,,,,,,,,,,,,
UP,Metridia longa,Ci,371.69,550.00,810.00,0.55,0.81,1.09E+00,3.80E+00,"Forest et al., 2011",4.05E+02,1.41E+03,,,Omnivorous,1.41E+08,2.96E+07,,,,,,,,,,,,,,,
UP,Metridia longa,Cii,569.64,810.00,960.00,0.81,0.96,3.80E+00,6.57E+00,,2.16E+03,3.74E+03,,,Omnivorous,2.74E+08,1.38E+08,,,,,,,,,,,,,,,
UP,Metridia longa,Ciii,720.86,960.00,1190.00,0.96,1.19,6.57E+00,1.31E+01,,4.74E+03,9.47E+03,,,Omnivorous,6.04E+08,2.54E+08,,,,,,,,,,,,,,,
UP,Metridia longa,CiV,2022.58,1200.00,1700.00,1.20,1.70,1.35E+01,4.15E+01,,2.73E+04,8.40E+04,,,Omnivorous,4.47E+09,1.10E+09,,,,,,,,,,,,,,,
UP,Metridia longa,CV,1259.72,1770.00,2120.00,1.77,2.12,4.73E+01,8.46E+01,,5.96E+04,1.07E+05,,,Omnivorous,4.15E+09,2.00E+09,,,,,,,,,,,,,,,
UP,Metridia longa,F,3882.61,2500.00,3000.00,2.50,3.00,1.44E+02,2.59E+02,,5.59E+05,1.01E+06,,,Omnivorous,2.97E+10,1.42E+10,,,,,,,,,,,,,,,
UP,Metridia longa,M,613.26,1960.00,2400.00,1.96,2.40,6.57E+01,1.26E+02,,4.03E+04,7.74E+04,,,Omnivorous,2.78E+09,1.23E+09,,,,,,,,,,,,,,,
UP,Metridia longa,Total,9440.37,,,,,,,,,,6.93E+05,1.29E+06,,#DIV/0!,#DIV/0!,4.21E+10,1.90E+10,,,,,,,,,,,,,
UP,Microcalanus,Ci,20.51,250.00,250.00,0.25,0.25,9.81E-02,9.81E-02,"Uye, 1982",2.01E+00,2.01E+00,,,Omnivorous,3.67E+05,3.67E+05,,,,,,,,,,,,,,,
UP,Microcalanus,Cii,300.51,255.00,355.00,0.26,0.36,1.04E-01,2.88E-01,,3.13E+01,8.65E+01,,,Omnivorous,1.55E+07,4.37E+06,,,,,,,,,,,,,,,
UP,Microcalanus,Ciii,4372.12,360.00,405.00,0.36,0.41,3.01E-01,4.31E-01,,1.31E+03,1.89E+03,,,Omnivorous,2.60E+08,1.66E+08,,,,,,,,,,,,,,,
UP,Microcalanus,CiV,10624.66,395.00,470.00,0.40,0.47,4.00E-01,6.81E-01,,4.24E+03,7.24E+03,,,Omnivorous,9.30E+08,4.77E+08,,,,,,,,,,,,,,,
UP,Microcalanus,CV,5837.99,470.00,580.00,0.47,0.58,6.81E-01,1.30E+00,,3.98E+03,7.59E+03,,,Omnivorous,8.52E+08,3.80E+08,,,,,,,,,,,,,,,
UP,Microcalanus,F,6885.74,540.00,630.00,0.54,0.63,1.04E+00,1.67E+00,,7.18E+03,1.15E+04,,,Omnivorous,1.16E+09,6.45E+08,,,,,,,,,,,,,,,
UP,Microcalanus,M,540.24,500.00,570.00,0.50,0.57,8.24E-01,1.23E+00,,4.45E+02,6.65E+02,,,Omnivorous,7.13E+07,4.31E+07,,,,,,,,,,,,,,,
UP,Microcalanus,Total,28581.77,,,,,,,,,,1.72E+04,2.89E+04,,#DIV/0!,#DIV/0!,3.29E+09,1.72E+09,,,,,,,,,,,,,
UP,Oithona similis,Ci,106.67,200.00,240.00,0.20,0.24,8.84E-02,1.31E-01,"Sabatini & Kiorbe, 1994",9.43E+00,1.40E+01,,,Omnivorous,2.62E+06,1.60E+06,,,,,,,,,,,,,,,
UP,Oithona similis,Cii,460.92,240.00,280.00,0.24,0.28,1.31E-01,1.83E-01,,6.04E+01,8.43E+01,,,Omnivorous,1.43E+07,9.43E+06,,,,,,,,,,,,,,,
UP,Oithona similis,Ciii,398.36,280.00,320.00,0.28,0.32,1.83E-01,2.44E-01,,7.28E+01,9.72E+01,,,Omnivorous,1.52E+07,1.06E+07,,,,,,,,,,,,,,,
UP,Oithona similis,CiV,1806.09,320.00,360.00,0.32,0.36,2.44E-01,3.15E-01,,4.41E+02,5.68E+02,,,Omnivorous,8.26E+07,6.01E+07,,,,,,,,,,,,,,,
UP,Oithona similis,CV,6978.41,400.00,400.00,0.40,0.40,3.95E-01,3.95E-01,,2.76E+03,2.76E+03,,,Omnivorous,3.55E+08,3.55E+08,,,,,,,,,,,,,,,
UP,Oithona similis,F,18043.12,420.00,500.00,0.42,0.50,4.39E-01,6.40E-01,,7.92E+03,1.15E+04,,,Omnivorous,1.45E+09,9.04E+08,,,,,,,,,,,,,,,
UP,Oithona similis,M,1625.55,380.00,420.00,0.38,0.42,3.54E-01,4.39E-01,,5.75E+02,7.14E+02,,,Omnivorous,9.45E+07,7.21E+07,,,,,,,,,,,,,,,
UP,Oithona similis,Total,29419.10,,,,,,,,,,1.18E+04,1.58E+04,,#DIV/0!,#DIV/0!,2.01E+09,1.41E+09,,,,,,,,,,,,,
UP,Oncaea notopus/parila,F,3238.61,400.00,540.00,0.40,0.54,4.90E-01,1.27E+00,"Hopcroft et al., 2005",1.59E+03,4.10E+03,1.59E+03,4.10E+03,Omnivorous,5.00E+08,1.53E+08,5.00E+08,1.53E+08,,,,,,,,,,,,,
UP,Paraeuchaeta spp.,Ci,224.41,1080.00,1080.00,1.08,1.08,4.79E+00,4.79E+00,"Mumm, 1991",1.08E+03,1.08E+03,,,Carnivorous,7.42E+07,7.42E+07,,,,,,,,,,,,,,,
UP,Paraeuchaeta spp.,Cii,205.33,1500.00,1500.00,1.50,1.50,1.40E+01,1.40E+01,,2.88E+03,2.88E+03,,,Carnivorous,1.52E+08,1.52E+08,,,,,,,,,,,,,,,
UP,Paraeuchaeta spp.,Ciii,76.59,1190.00,1355.00,1.19,1.36,6.58E+00,1.01E+01,,5.04E+02,7.71E+02,,,Carnivorous,4.92E+07,2.89E+07,,,,,,,,,,,,,,,
UP,Paraeuchaeta spp.,CiV,9.85,3480.00,4485.00,3.48,4.49,2.21E+02,5.07E+02,,2.18E+03,4.99E+03,,,Carnivorous,1.32E+08,4.68E+07,,,,,,,,,,,,,,,
UP,Paraeuchaeta spp.,CV,25.11,3700.00,4720.00,3.70,4.72,2.70E+02,5.99E+02,,6.78E+03,1.50E+04,,,Carnivorous,3.79E+08,1.40E+08,,,,,,,,,,,,,,,
UP,Paraeuchaeta spp.,Total,541.29,,,,,,,,,,1.34E+04,2.08E+04,,#DIV/0!,#DIV/0!,7.87E+08,4.42E+08,,,,,,,,,,,,,
UP,Pseudocalanus spp.,Ci,1242.39,450.00,450.00,0.45,0.45,3.91E-01,3.91E-01,"Liu & hopcroft, 2008",4.86E+02,4.86E+02,,,Omnivorous,6.27E+07,6.27E+07,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,Cii,1012.83,600.00,600.00,0.60,0.60,8.87E-01,8.87E-01,,8.99E+02,8.99E+02,,,Omnivorous,9.45E+07,9.45E+07,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,Ciii,1108.94,666.67,786.67,0.67,0.79,1.20E+00,1.92E+00,,1.33E+03,2.13E+03,,,Omnivorous,2.08E+08,1.15E+08,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,CiV,180.17,786.67,900.00,0.79,0.90,1.92E+00,2.82E+00,,3.46E+02,5.08E+02,,,Omnivorous,4.40E+07,2.73E+07,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,CV,548.42,933.33,1083.33,0.93,1.08,3.13E+00,4.78E+00,,1.71E+03,2.62E+03,,,Omnivorous,2.01E+08,1.18E+08,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,F,1297.68,1200.00,1200.00,1.20,1.20,6.40E+00,6.40E+00,,8.30E+03,8.30E+03,,,Omnivorous,5.33E+08,5.33E+08,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,M,36.65,1000.00,1000.00,1.00,1.00,3.80E+00,3.80E+00,,1.39E+02,1.39E+02,,,Omnivorous,1.02E+07,1.02E+07,,,,,,,,,,,,,,,
UP,Pseudocalanus spp.,Total,5427.08,,,,,,,,,,1.32E+04,1.51E+04,,#DIV/0!,#DIV/0!,1.15E+09,9.61E+08,,,,,,,,,,,,,
UP,Spinocalanus longicornis,Ci,48.62,500.00,500.00,0.50,0.50,8.24E-01,8.24E-01,"Uye, 1982",4.01E+01,4.01E+01,,,Omnivorous,4.29E+06,4.29E+06,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,Cii,794.54,620.00,620.00,0.62,0.62,1.59E+00,1.59E+00,,1.27E+03,1.27E+03,,,Omnivorous,1.15E+08,1.15E+08,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,Ciii,964.59,800.00,1000.00,0.80,1.00,3.49E+00,6.92E+00,,3.36E+03,6.67E+03,,,Omnivorous,4.99E+08,2.12E+08,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,CiV,724.96,1000.00,1200.00,1.00,1.20,6.92E+00,1.21E+01,,5.02E+03,8.78E+03,,,Omnivorous,5.53E+08,2.74E+08,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,CV,851.69,1280.00,1700.00,1.28,1.70,1.48E+01,3.53E+01,,1.26E+04,3.00E+04,,,Omnivorous,1.56E+09,5.27E+08,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,F,1693.33,1600.00,1800.00,1.60,1.80,2.93E+01,4.20E+01,,4.96E+04,7.12E+04,,,Omnivorous,3.12E+09,1.99E+09,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,M,81.03,1400.00,1600.00,1.40,1.60,1.94E+01,2.93E+01,,1.57E+03,2.37E+03,,,Omnivorous,1.15E+08,6.91E+07,,,,,,,,,,,,,,,
UP,Spinocalanus longicornis,Total,5077.74,,,,,,,,,,7.34E+04,1.19E+05,,#DIV/0!,#DIV/0!,5.97E+09,3.19E+09,,,,,,,,,,,,,
UP,Themisto abyssorum,NA,378.89,31.00,31.00,31.00,31.00,5.04E+01,5.04E+01,"Hopcroft et al., 2005",1.91E+04,1.91E+04,1.91E+04,1.91E+04,Carnivorous,7.31E+08,7.31E+08,7.31E+08,7.31E+08,,,,,,,,,,,,,
UP,Triconia borealis,CV,102.56,2300.00,3300.00,2.30,3.30,1.73E+01,3.77E+01,"Sabatini & Kiorbe, 1994",1.77E+03,3.87E+03,,,Omnivorous,1.94E+08,7.30E+07,,,,,,,,,,,,,,,
UP,Triconia borealis,F,7701.80,400.00,450.00,0.40,0.45,3.95E-01,5.10E-01,,3.04E+03,3.92E+03,,,Omnivorous,5.05E+08,3.68E+08,,,,,,,,,,,,,,,
UP,Triconia borealis,M,143.59,292.00,315.00,0.29,0.32,2.00E-01,2.36E-01,,2.87E+01,3.39E+01,,,Omnivorous,5.17E+06,4.21E+06,,,,,,,,,,,,,,,
UP,Triconia borealis,Total,7947.95,,,,,,,,,,,,,,,7.04E+08,4.45E+08,,,,,,,,,,,,,
