Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
LW,Gaetanus tenuispinus,CiV,13.71,1800.00,2200.00,1.80,2.20,3.45E+01,6.85E+01,"Mumm, 1991",4.74E+02,9.39E+02,,,Carnivorous,3.96E+07,1.68E+07,,,,,,,,,,,,,,,
LW,Gaetanus tenuispinus,CV,16.76,2200.00,2800.00,2.20,2.80,6.85E+01,1.56E+02,,1.15E+03,2.61E+03,,,Carnivorous,9.28E+07,3.32E+07,,,,,,,,,,,,,,,
LW,Gaetanus tenuispinus,F,84.27,2700.00,3200.00,2.70,3.20,1.38E+02,2.46E+02,,1.16E+04,2.07E+04,,,Carnivorous,6.18E+08,2.99E+08,,,,,,,,,,,,,,,
LW,Gaetanus tenuispinus,M,23.62,2900.00,3200.00,2.90,3.20,1.76E+02,2.46E+02,,4.15E+03,5.81E+03,,,Carnivorous,1.63E+08,1.07E+08,,,,,,,,,,,,,,,
LW,Gaetanus tenuispinus,Total,138.36,,,,,,,,,,1.74E+04,3.01E+04,,#DIV/0!,#DIV/0!,9.13E+08,4.56E+08,,,,,,,,,,,,,
LW,Heterorhabdus norvegicus,CV,10.67,2000.00,2800.00,2.00,2.80,3.62E+01,1.77E+02,"Mumm, 1991",3.86E+02,1.89E+03,,,Carnivorous,7.86E+07,1.08E+07,,,,,,,,,,,,,,,
LW,Heterorhabdus norvegicus,F,7.62,2900.00,3700.00,2.90,3.70,2.09E+02,6.59E+02,,1.59E+03,5.02E+03,,,Carnivorous,1.35E+08,3.21E+07,,,,,,,,,,,,,,,
LW,Heterorhabdus norvegicus,M,30.48,2600.00,3000.00,2.60,3.00,1.25E+02,2.45E+02,,3.80E+03,7.47E+03,,,Carnivorous,2.28E+08,9.82E+07,,,,,,,,,,,,,,,
LW,Heterorhabdus norvegicus,Total,48.76,,,,,,,,,,5.78E+03,1.44E+04,,#DIV/0!,#DIV/0!,4.42E+08,1.41E+08,,,,,,,,,,,,,
LW,Heterostylites major,Cii,2.29,650.00,1000.00,0.65,1.00,1.84E+00,6.92E+00,"Uye, 1982",4.21E+00,1.58E+01,,,Omnivorous,1.39E+06,2.65E+05,,,,,,,,,,,,,,,
LW,Heterostylites major,Ciii,2.29,1000.00,1300.00,1.00,1.30,6.92E+00,1.55E+01,,1.58E+01,3.54E+01,,,Omnivorous,2.23E+06,8.14E+05,,,,,,,,,,,,,,,
LW,Heterostylites major,CiV,2.29,1450.00,1800.00,1.45,1.80,2.16E+01,4.20E+01,,4.95E+01,9.61E+01,,,Omnivorous,4.55E+06,1.98E+06,,,,,,,,,,,,,,,
LW,Heterostylites major,CV,12.95,2300.00,3300.00,2.30,3.30,8.92E+01,2.70E+02,,1.16E+03,3.50E+03,,,Omnivorous,1.16E+08,2.91E+07,,,,,,,,,,,,,,,
